timestep,time,region,model,b0,q,alpha,k,g,r0,b,MSE,MAE,NRMSE,normalized_residual,AIC,Rrope,n_points_inside
0020,2.38540599984114,apex,Gold-Hoyle,0.9598085442467392,0.006395113830201486,,,,,,0.0003184157284973151,0.013349507165909769,0.026283553377530834,0.00032939558120411913,-479.12916221160333,0.6342104384133245,30
0020,2.38540599984114,apex,Lundquist,0.9598303416788211,,0.5,,,,,0.014374730186589333,0.09599009905886607,0.17659836307091498,0.014870410537851037,-250.5370077220326,0.6342104384133245,30
0020,2.38540599984114,apex,Exponential,0.9598035484311116,,,0.012152526075019236,0.7229424012968276,,,0.0003184155293542942,0.013349558836398105,0.026283545158422017,0.0003351742414255727,-477.12919973671245,0.6342104384133245,30
0020,2.38540599984114,apex,Step-like,0.9637814499544398,,,,0.99,0.4075779510720022,0.10998635434146259,0.00035186150253788937,0.01377451042031632,0.02762947923090764,0.0003769944670048814,-469.1363749389107,0.6342104384133245,30
0021,2.5046762998332,footpoint,Gold-Hoyle,0.9445779022679912,0.001,,,,,,0.0003820099230194634,0.013436565567319071,0.029250396714074197,0.00042976116339689635,-137.66115147055893,0.3,9
0021,2.5046762998332,footpoint,Lundquist,0.9447055247772849,,0.5,,,,,0.013385015656156973,0.0885703301192266,0.1731425782658339,0.015058142613176596,-73.64514978061753,0.3,9
0021,2.5046762998332,footpoint,Exponential,0.9445700789788396,,,0.01,0.99,,,0.00038200985701319207,0.013436123338727865,0.029250394187032895,0.00045841182841583044,-135.66115458072153,0.3,9
0021,2.5046762998332,footpoint,Step-like,1.0079545639108196,,,,0.8781859702832437,0.1,0.05,0.00038160183764821985,0.01332052037181422,0.02923476904598756,0.0004906309341191398,-133.6803904025419,0.3,9
0021,2.5046762998332,apex,Gold-Hoyle,0.9704827803278654,0.0073158804585961405,,,,,,0.00019146081144609967,0.010893493916445313,0.02015972685369994,0.0001988246888094112,-458.28467987163816,0.5320453866995699,27
0021,2.5046762998332,apex,Lundquist,0.9707321313887992,,0.5,,,,,0.014342122154444872,0.09437328742904527,0.17448231087529345,0.014893742237308133,-225.20594117669742,0.5320453866995699,27
0021,2.5046762998332,apex,Exponential,0.9704827453047793,,,0.01374214401383501,0.7162457203426088,,,0.00019146051228770514,0.010893716679095836,0.020159711103861028,0.00020272289536345245,-456.28476424695083,0.5320453866995699,27
0021,2.5046762998332,apex,Step-like,0.9704113276305232,,,,0.99,1.0,0.05,0.000248320793950857,0.012400196377857785,0.022958908645767,0.0002681864574669255,-440.2426124615466,0.5320453866995699,27
0022,2.62394659982525,footpoint,Gold-Hoyle,0.9461798535671523,0.001,,,,,,0.0003570475057475749,0.013139896969605786,0.02823153010871293,0.00040167844396602175,-138.87755083248595,0.3,9
0022,2.62394659982525,footpoint,Lundquist,0.946338368026432,,0.5,,,,,0.013375682880643176,0.08846542520849615,0.17279429394351653,0.015047643240723574,-73.65770475677523,0.3,9
0022,2.62394659982525,footpoint,Exponential,0.9461729877655579,,,0.01,0.99,,,0.0003570474382440288,0.013139510317147393,0.02823152743998054,0.00042845692589283454,-136.87755423557357,0.3,9
0022,2.62394659982525,footpoint,Step-like,1.0089546636485998,,,,0.8794201977157149,0.1,0.05,0.0003568285554401283,0.013082959705629414,0.028222872647143033,0.0004587795712801649,-134.88859226071375,0.3,9
0022,2.62394659982525,apex,Gold-Hoyle,0.9765370484600022,0.008020671492010797,,,,,,0.00013613191069868696,0.009475400415947542,0.01689470599477514,0.00014293850623362135,-369.87922054087375,0.46919362826191313,21
0022,2.62394659982525,apex,Lundquist,0.9769349776859686,,0.5,,,,,0.01431405126726168,0.09346529463528,0.1732415068625066,0.015029753830624762,-174.35357195539382,0.46919362826191313,21
0022,2.62394659982525,apex,Exponential,0.9765384151570974,,,0.01485556100956916,0.708002945440659,,,0.00013613152179377084,0.009475653287965888,0.01689468186215672,0.00014660317731636857,-367.8793405276542,0.46919362826191313,21
0022,2.62394659982525,apex,Step-like,1.0679577590847245,,,,0.8360575667102058,0.1,0.13611062442629207,0.00014233345670105723,0.009786098597655966,0.01727524306921287,0.00015731592582748433,-364.0081943043013,0.46919362826191313,21
0023,2.74321689981731,footpoint,Gold-Hoyle,0.9477477095404455,0.001,,,,,,0.00033563965656561605,0.012941196204488005,0.027327483112225447,0.0003775946136363181,-139.9905035817079,0.3,9
0023,2.74321689981731,footpoint,Lundquist,0.9479954852682015,,0.5,,,,,0.013316158295247425,0.08817363698810525,0.17212837753545812,0.014980678082153354,-73.73798729001473,0.3,9
0023,2.74321689981731,footpoint,Exponential,0.947747361311431,,,0.01,0.715457096486134,,,0.0003396792443842395,0.013402746842066878,0.027491441087529666,0.00040761509326108734,-137.77515806809413,0.3,9
0023,2.74321689981731,footpoint,Step-like,1.010032264561609,,,,0.880455762974457,0.1,0.05,0.0003358210587282147,0.012884176862223375,0.02733486691626861,0.0004317699326505617,-135.98077780349897,0.3,9
0023,2.74321689981731,apex,Gold-Hoyle,0.9773239747893016,0.008034566479720732,,,,,,0.00013290999859057412,0.009365257085489308,0.016680190280865575,0.0001402938874011616,-335.1818574372373,0.44627810224518527,19
0023,2.74321689981731,apex,Lundquist,0.9777281438595493,,0.5,,,,,0.014323498612496495,0.09345995015309698,0.17315966185309006,0.015119248535412966,-157.3424455667947,0.44627810224518527,19
0023,2.74321689981731,apex,Exponential,0.9773259257486876,,,0.014853138717338402,0.7067887298675853,,,0.00013290960686118084,0.009365617206775631,0.016680165699849463,0.0001443018588778535,-333.1819694358749,0.44627810224518527,19
0023,2.74321689981731,apex,Step-like,0.9772913612264601,,,,0.99,1.0,0.05,0.00015124392793284538,0.010393575528581608,0.01779349037748547,0.00016903733121906246,-326.2714308435442,0.44627810224518527,19
0024,2.86248719980937,footpoint,Gold-Hoyle,0.9447529064317384,0.0016378015364486617,,,,,,0.00038193835113058876,0.013817098393379692,0.029242152877720917,0.0004296806450219124,-137.66452419628848,0.3,9
0024,2.86248719980937,footpoint,Lundquist,0.9451113721019653,,0.5,,,,,0.013180892328273805,0.08757983757179393,0.17178495087303478,0.014828503869308032,-73.92176688049244,0.3,9
0024,2.86248719980937,footpoint,Exponential,0.9447414535024106,,,0.01,0.9579457656051646,,,0.00038197412441673076,0.01383955624013599,0.029243522291666338,0.00045836894930007693,-135.6628383509333,0.3,9
0024,2.86248719980937,footpoint,Step-like,1.0082886529959483,,,,0.877933084577313,0.1,0.05,0.0003824898032307276,0.013759365911511346,0.029263255537502246,0.0004917726041537927,-133.63855409186004,0.3,9
0024,2.86248719980937,apex,Gold-Hoyle,0.9758147860439597,0.007999926425950533,,,,,,0.00014846269194097807,0.009819071765978599,0.01765611665449538,0.00015671061927103244,-330.9767205762879,0.44627811167003845,19
